操作,機能,意図,type,カイゼン案,実装済みコピー,要調査
一括処理受け付け,,"[""ダウンロード"",""一括処理""]",Title,#{job_name}を受け付けました,#{job_name}を予約しました,
一括処理受け付け,,"[""一括処理""]",Message,"処理が完了したら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理 からご確認いただけます。
一部の操作は、処理が完了するまで実行できません。
","処理が完了しましたら、メールにてお知らせいたしますので、しばらくお待ちください。
%br
進捗状況は
= link_to 'バックグラウンド処理一覧', admin_job_histories_path
からご確認いただけます。
",
ダウンロード受け付け,,"[""ダウンロード""]",Message,"ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理 からご確認いただけます。
抽出件数によっては、処理に時間がかかることがあります。","処理が完了しましたら、メールにてお知らせいたしますので、しばらくお待ちください。
%br
進捗状況は
= link_to 'バックグラウンド処理一覧', admin_job_histories_path
からご確認いただけます。
- if with_data
%br
データのダウンロード方法は
= zendesk_button_tag(360026105494) do
こちら
をご参照ください。
%br
なお、処理に1時間以上時間がかかる場合は再度お試しいただくか、状況をお調べしますのでお問い合わせください。",
申請の承認,申請,"[""一括処理""]",Title,申請の承認を受け付けました,申請の承認を予約しました,
申請の依頼,申請,"[""一括処理""]",Title,申請の依頼を受け付けました,申請の依頼を予約しました,
一覧ダウンロード,申請,"[""ダウンロード""]",Title,申請一覧のダウンロードを受け付けました,一覧ダウンロードを予約しました,
申請ダウンロード,申請,"[""ダウンロード""]",Title,申請内容のダウンロードを受け付けました,提出内容のダウンロードを予約しました,
申請の取り消し,申請,"[""一括処理""]",Title,申請の取り消しを受け付けました,申請の取り消しを予約しました,
申請のアーカイブ,申請,"[""一括処理""]",Title,申請のアーカイブを受け付けました,申請のアーカイブを予約しました,
一括処理・ダウンロード受け付け,申請,"[""ダウンロード"",""一括処理""]",Message,"処理が完了したら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理 からご確認いただけます。","処理が完了しましたら、メールにてお知らせいたしますので、しばらくお待ちください。<br />
進捗状況は、 バックグラウンド処理一覧 からご確認いただけます。",
部署の一括追加,部署,"[""一括処理""]",Title,,部署の一括追加を受け付けました,
部署の一括追加,部署,"[""一括処理""]",Message,"処理が完了したら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理一覧 からご確認いただけます。","処理が完了できたら、メールならびに右上の通知欄からお知らせします。
<br />
進捗状況は <a href=""/admin/job_histories"">バックグラウンド処理一覧</a> で確認ください。",
全件ダウンロード,部署,"[""ダウンロード""]",Title,,部署の全件ダウンロードを受け付けました,
全件ダウンロード,部署,"[""ダウンロード""]",Message,"ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理一覧 でご確認ください。
抽出件数によっては、処理に時間がかかることがあります。","ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
<br />
進捗状況は <a href=""/admin/job_histories"">バックグラウンド処理一覧</a> で確認ください。
<br />
抽出件数によっては、処理に時間がかかることがあります。",
ファイル取り込み,給与明細,"[""アップロード""]",Title,,ファイルの取り込みを受け付けました,
ファイル取り込み,給与明細,"[""アップロード""]",Message,,"予約は、ファイルの取り込みの完了後に予約一覧に表示されます。
<br />
処理が完了したら、メールならびに右上の通知欄からお知らせします。
<br />
進捗状況は <ExternalLink href=""/admin/job_histories"">バックグラウンド処理</ExternalLink> でご確認ください。",
全件ダウンロード,給与明細,"[""ダウンロード""]",Title,,給与明細（PDFファイル）の全件ダウンロードを受け付けました,
ダウンロードファイルの書き出しの受け付け（重め）,給与明細,"[""ダウンロード""]",Message,"ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理 からご確認いただけます。
抽出件数によっては、処理に時間がかかることがあります。","ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
<br />
進捗状況は <a href=""/admin/job_histories""> バックグラウンド処理一覧</a> からご確認いただけます。
<br />
抽出件数によっては、処理に時間がかかることがあります。
<br />
1時間以上経っても処理が終わらない場合は、実行し直すか、カスタマーサポートまでお問い合わせください。状況をお調べいたします。",
従業員情報ダウンロード,従業員情報,"[""ダウンロード""]",Title,従業員情報のダウンロードを受け付けしました,従業員情報のダウンロードを予約しました,
