結果概要,エラー詳細（理由と対処）,エラーの原因,エラー詳細の実装例,エラー原因の所在
ファイルの取り込みに失敗しました。,時間をおいて、やり直してください。,同じ条件でやり直してみるしかない場合（500エラー系など）,,ファイル以外
ファイルの取り込みに失敗しました。,予期しないエラーが発生しました。しばらく経ってから、やり直してください。,なにもわからないとき,,ファイル以外
ファイルの取り込みに失敗しました。,"{{先に必要な操作を表す名詞}}がされていません。
先に{{先に必要な操作を表す名詞}}をしてください。",先に必要な操作があることを伝える場合,,ファイル以外
ファイルの取り込みに失敗しました。,{{オブジェクト名}}を{{操作を表す名詞}}する場合はプラン変更が必要です。,該当の操作ができないプランであることを伝える場合,,ファイル以外
ファイルの取り込みに失敗しました。,"{{指定したい形式}}にしたファイルを、取り込んでください。
{{指定したい形式}}のファイルを、取り込んでしてください。",ファイルの形式が間違っていることを伝える場合,"・文字コードをUTF-8形式にしたファイルを取り込んでください。
・CSV形式にしたファイルを取り込んでください。",ファイルの形式
ファイルの取り込みに失敗しました。,ファイルに値が入力されていません。,空のファイルであることを伝える場合,,ファイルの形式
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n列目：項目名が誤っています。,ヘッダー項目が誤っていることを伝える場合,,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：{{操作できない状態}}{{オブジェクト名}}が入力されています。,仕様として、不可能であることを伝える場合,・n行目：招待中の従業員のメールアドレスが入力されています（a@example.com）。,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：{{制限値}}を超える{{オブジェクト名}}です。,制限値を超えていることを伝える場合,,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：{{制限値}}に満たない{{オブジェクト名}}です。,制限値を満たしていないことを伝える場合,・n行目：10文字に満たないファイル名です。,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：{{オブジェクト名}}は一度に{{制限値}}までしか{{操作を表す名詞}}できません。,操作できる件数（レコード数）を超過していることを伝える場合,,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,"n行目：{{操作目的を表す名詞}}済みの{{オブジェクト名}}が入力されています。
n行目：{{操作が済んでいる状態}}{{オブジェクト名}}がすでに存在します。",すでに行われていて、操作できなかったことを伝える場合,"・n行目：招待済みの従業員のメールアドレスが入力されています（a@example.com）。
・n行目：このメールアドレス(×××××@×××.××)を登録しているアカウントがすでに存在します。",ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：存在しない{{オブジェクト名}}が入力されています。,操作対象となるオブジェクトが存在しないことを伝える場合,・n行目：存在しないアカウント権限が入力されています。,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n列目：入力必須の列がありません（{{列名}}）。,入力必須の列に値が未入力であることを伝える場合,・n列目：入力必須の列がありません（社員番号）。,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：{{オブジェクト名}}が入力されていません。,値が入力されていないことを伝える場合,・n行目：社員番号が入力されていません。,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：入力された{{オブジェクト名}}が正しくありません。,入力した値が不正であることを伝える場合,,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：入力された{{オブジェクト名}}に{{不正な条件}}が含まれています。,入力した値に不正な条件が含まれていることを伝える場合,"・n行目：入力されたマイナンバーに数字以外の文字が含まれています。        
・n行目：入力されたマイナンバーに全角の数字が含まれています。        ",ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：入力された{{オブジェクト名}}が{{適正な条件}}ではありません。,入力した値が不正であり、適正な条件でないことを伝える場合,・n行目：入力されたマイナンバーが12桁ではありません。,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：{{登録先}}に登録されている{{オブジェクト名}}と入力されている{{オブジェクト名}}が一致しません。,登録されている値と入力されている値が不一致であることを伝える場合,"・n行目：従業員情報に登録されている{{オブジェクト名}}（氏名 ほげ）と入力されている{{オブジェクト名}}（氏名 ふが）が異なっています。
・n行目：従業員情報に登録されているメールアドレス（atsushi.hirata@smarthr.co.jp）と入力されているメールアドレスが異なっています（ryu.morikawa@smarthr.co.jp）。",ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：あなたのアカウント権限では、対象の{{オブジェクト名}}に対して操作が許可されていません。,該当の操作が許可されてないことを伝える場合,・n行目：あなたのアカウント権限では、対象の従業員に対して操作権限がありません。,ファイルの入力内容
◯件の{{操作目的を表す名詞}}に成功しました。◯件の{{操作目的を表す名詞}}に失敗しました。,n行目：{{オブジェクト名}}が重複しています（SHOTAI-002）。,値が重複していたことを伝える場合,,ファイルの入力内容
