Name,概要,留意点,実装例
{{オブジェクト名}}の{{操作を表す名詞}}に失敗しました。,エラー原因を伝えられない失敗,,
{{バックグラウンド処理名}}の受け付けに失敗しました。,バックグラウンド処理の受け付けに失敗した時,,
{{オブジェクト名}}の{{操作を表す名詞}}に失敗しました。時間をおいて、やり直してください。,同じ条件でやり直してみるしかない場合（500エラー系など）,,
{{状態を示す修飾語・節・句}}{{オブジェクト名}}は、{{操作を表す名詞}}できません。,仕様として、不可能であることを伝える場合,,"差し戻し済みの依頼は、確認・合意できません。
署名済みの書類は、差し戻しできません。"
{{制限値}}を超える{{オブジェクト名}}は{{操作を表す名詞}}できません。,制限値エラーで、操作できなかったことを伝える場合,,5MBを超えるPDFファイルはアップロードできません。
{{制限値}}に満たない{{オブジェクト名}}は{{操作を表す名詞}}できません。,制限値エラーで、操作できなかったことを伝える場合,,12文字に満たないログインボタンのラベルは入力できません。
{{オブジェクト名}}は{{制限値}}件までしか登録できません。,制限値エラーで、登録／追加できなかったことを伝える場合,"- 必要に応じて、「件」は「個」や「つ」に置き換えて構いません。
- 必要に応じて、「登録」は「追加」や「アップロード」に置き換えて構いません。",ファイルは5つまでしか登録できません。
{{オブジェクト名}}は{{制限値}}までしか選択できません。,選択可能な単位を超えたため、操作できなかったことを伝える場合,,続柄の配偶者は1人までしか選択できません。
{{オブジェクト名}}は、すでに{{操作を表す名詞}}済みです。,エラーの原因となった状態を伝える場合（原因＝すでに行われている）,"- 必要に応じて、選択対象に限定するために「選択した」や「対象の」などでオブジェクト名を修飾します。
- オブジェクト名を省略しても構いません。
","すでに連携済みです。
選択したマイナンバーは、すでに登録済みです
この書類の従業員は、すでに削除済みです。"
"{{オブジェクト名}}がありません。
{{オブジェクト名}}は無効です。",エラーの原因となった状態を伝える場合（原因＝存在しない）,- 必要に応じて、選択対象に限定するために「選択した」や「対象の」などでオブジェクト名を修飾します。,"対象となる依頼がありません。
書類がありません。"
{{オブジェクト名}}が入力されていません。,エラーの原因となった状態を伝える場合（原因＝未入力）,,"被扶養者が入力されていません。
SmartHR手続ID、e-Gov手続IDが入力されていません。
銀行名が入力されていません。"
"{{オブジェクト名}}が選択されていません。
{{オブジェクト名}}が指定されていません。",エラーの原因となった状態を伝える場合（原因＝未選択）,- 「選択」と「指定」は、直前の操作指示で示した操作名に合わせます。,"従業員が選択されていません。
書類セットが選択されていません。"
{{オブジェクト名}}が正しくありません。,エラーの原因となった状態を伝える場合（原因＝不正）,,
"{{オブジェクト名}}と{{オブジェクト名}}が一致しません。

",エラーの原因となった状態を伝える場合（原因＝不一致）,,書類に記載されている名前と署名が一致しません。
"アクセスできません。
アクセス権限がありません。
許可されていない操作です。",許可されてない場合,,
予期しないエラーが発生しました。しばらく経ってから、やり直してください。,なにもわからないとき,,
